,price,host_id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,amenities_length
5906,1083,4285972,Yau Tsim Mong,22.319741053283817,114.15646794635096,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,1,0.0,0.0,0.2,13
5907,918,91199928,Central & Western,22.285555408364306,114.15053537393216,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,62,94.0,10.0,6.69,23
5908,298,64080884,Kowloon City,22.307778884828807,114.18356532694702,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,1,100.0,6.0,0.11,4
5909,1499,78030170,Yau Tsim Mong,22.30534040740747,114.16978602366041,Apartment,Entire home/apt,9,1.0,2.0,5.0,Real Bed,9,96.0,10.0,1.05,19
5910,801,151030156,Yau Tsim Mong,22.30370476455323,114.1699281296552,Apartment,Entire home/apt,11,1.0,2.0,5.0,Real Bed,34,93.0,10.0,4.0,29
5911,887,119458398,Sham Shui Po,22.33339246188884,114.15975714382334,Apartment,Private room,1,1.0,0.0,1.0,Real Bed,1,0.0,0.0,0.11,67
5912,235,121964466,Yuen Long,22.515338059094475,114.07326661564564,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,9,93.0,10.0,1.0,20
5913,188,121964466,Yuen Long,22.517411592857588,114.07345251259278,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,3,93.0,10.0,0.32,19
5914,816,151038169,Yau Tsim Mong,22.317638538695068,114.16816500118614,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,68,99.0,10.0,7.56,15
5915,173,121964466,Yuen Long,22.51566236943834,114.07186935164131,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,3,100.0,10.0,0.37,19
